The Lombardy,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1
The High Line Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,97,100,-1,-1,-1,-1,-1,-1,79,-1,-1,89,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,86,91,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,45,47,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,-1,22,20,-1
Millenium Hilton,31,52,57,69,71,85,99,82,33,69,84,-1,-1,18,28,29,35,55,84,100,87,69,84,94,69,53,69,53,20,32,38,42,19,9,20,25,61,65,-1,-1,-1,49,28,-1,31,29,28,28,65,-1,69,-1,-1,65,71,78,-1,-1,24,-1,21,13,28,32,-1,52,69,63,63,78,59,71,69,69,65,-1,-1,-1,-1,-1,-1,-1,76,82,69,61,55,55,-1,-1,87,94,-1,-1,-1,35,25,-1,-1,-1,-1,-1,-1,-1,-1,24,24,-1,79,80,72,-1,-1,-1,-1,-1,69,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,71,71,85,69,69,69,-1,69,-1,29,7,-1,-1,32,7,4,-1,-1,57,68,-1,-1,57,84,100,42,31,23,12,-1,-1,4,0
Hyatt Union Square New York,52,53,55,55,74,58,-1,78,-1,-1,-1,-1,19,-1,32,-1,-1,57,65,-1,82,-1,81,-1,-1,-1,51,-1,19,-1,27,-1,-1,64,58,-1,-1,71,-1,63,57,63,60,35,51,53,-1,-1,59,66,78,60,63,61,72,74,35,51,49,36,44,-1,-1,-1,-1,-1,58,45,44,59,48,54,59,60,-1,70,-1,-1,0,-1,-1,-1,-1,-1,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,62,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,-1,64,-1,56,-1,-1,-1,55,71,74,64,63,60,54,64,-1,70,61,61,85,82,83,100,-1,71,52,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,70,61,60,62,80,-1,-1,-1,-1,-1,-1,-1,-1
Wyndham Garden - Manhattan Chelsea West,-1,36,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,56,-1,-1,-1,-1,-1,-1,-1,41,44,-1,-1,-1,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,21,22,-1,-1,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,23,-1,-1,-1,-1,-1,-1,66,59,61,-1,26,40,41,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,59,58,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,83,-1,-1,-1,-1,-1,54,58,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Towers of the Waldorf Astoria New York,19,-1,18,-1,41,33,28,32,48,-1,-1,50,-1,-1,8,9,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,-1,33,-1,-1,-1,-1,-1,43,-1,-1,-1,-1,-1,20,18,-1,32,28,-1,33,48,53,-1,-1,0,28,8,8,24,13,8,20,38,-1,-1,25,16,-1,-1,-1,-1,-1,24,-1,-1,-1,13,-1,21,25,-1,26,-1,-1,-1,18,-1,-1,57,50,-1,-1,-1,-1,18,14,35,100,34,38,-1,29,-1,-1,-1,24,31,-1,-1,32,-1,-1,-1,-1,33,29,33,33,-1,-1,-1,40,-1,-1,-1,38,-1,-1,-1,-1,7,51,44,50,48,23,51,53,32,33,8,34,43,56,43,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Viceroy New York,-1,19,52,78,56,68,75,74,62,56,63,60,16,14,17,19,72,69,74,69,78,77,77,88,78,57,63,-1,16,21,33,33,79,56,46,57,48,56,49,66,-1,-1,34,33,73,53,56,50,52,78,71,95,-1,-1,-1,-1,45,41,48,49,9,12,7,17,-1,-1,51,60,74,37,43,82,69,72,68,66,11,11,10,74,68,92,96,90,71,58,61,85,89,78,100,86,79,90,81,98,64,42,-1,-1,55,65,56,-1,31,37,24,18,-1,51,47,-1,83,62,69,71,76,72,75,76,-1,23,36,-1,85,88,68,85,-1,85,80,73,62,68,-1,-1,-1,-1,-1,6,0,1,-1,-1,82,71,74,83,85,63,63,62,9,-1,-1,-1,86,100,17,15
Hilton Garden Inn New York Long Island City,11,16,21,-1,-1,69,73,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,55,62,61,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,33,34,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,13,-1,-1,15,-1,16,21,25,-1,8,7,8,-1,30,-1,29,0,0,-1,-1,-1,-1,57,-1,-1,-1,-1,-1,75,-1,-1,94,-1,-1,-1,-1,-1,25,19,18,38,35,36,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,95,100,-1,58,-1,-1,11,17,12,4,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,6,7,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,0,-1,-1
Best Western Bowery Hanbee Hotel,-1,-1,-1,-1,-1,-1,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,-1,-1,-1,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,71,66,-1,1,15,0,1,-1,-1,-1,-1,-1,73,73,-1,-1,73,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,15,-1,-1,-1,-1,78,-1,-1,-1,-1,-1,77,83,100,-1,-1,58,67,-1,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,23,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,58,-1,-1,86,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
New York Marriott East Side,-1,41,-1,-1,-1,63,-1,-1,22,60,-1,-1,6,14,-1,-1,49,81,75,-1,-1,84,-1,-1,-1,57,50,-1,-1,13,-1,-1,-1,46,32,25,-1,63,-1,-1,-1,29,-1,-1,-1,74,-1,-1,-1,64,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,0,4,-1,-1,-1,-1,66,-1,-1,41,43,-1,-1,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,-1,-1,-1,89,-1,-1,-1,-1,-1,-1,-1,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,74,-1,-1,-1,-1,-1,-1,-1,17,-1,2,-1,63,-1,-1,-1,42,61,-1,-1,15,-1,-1,-1,-1,-1,-1
